time,speed(m/s),num_sats
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190451,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190452,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190453,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
19691231_190454,     0, 9
