Time,latitude,longitude,depth,fixed_state
20300405_173752,-2.145964,-79.965635,5.000,0
20300406_212432,-2.145964,-79.965635,5.000,0
20300406_212432,-2.145983,-79.965671,5.000,0
20300408_011112,-2.145983,-79.965671,5.000,0
20300408_011112,-2.145974,-79.965663,5.000,0
20300409_045752,-2.145974,-79.965663,5.000,0
20300409_045752,-2.145973,-79.965661,5.000,0
20300410_084432,-2.145973,-79.965661,5.000,0
20300410_084432,-2.145952,-79.965654,5.000,0
20310321_063112,-2.145952,-79.965654,5.000,0
20310321_063112,-2.145672,-79.965613,5.000,0
20310322_101752,-2.145672,-79.965613,5.000,0
20310322_101752,-2.145673,-79.965623,5.000,0
20310323_140432,-2.145673,-79.965623,5.000,0
20310323_140432,-2.145688,-79.965635,5.000,0
20310324_175112,-2.145688,-79.965635,5.000,0
20310324_175112,-2.145688,-79.965651,5.000,0
20310325_213752,-2.145688,-79.965651,5.000,0
20310325_213752,-2.145688,-79.965662,5.000,0
20310327_012432,-2.145688,-79.965662,5.000,0
20310327_012432,-2.145687,-79.965656,5.000,0
20310328_051112,-2.145687,-79.965656,5.000,0
20310328_051112,-2.145699,-79.965679,5.000,0
20310329_085752,-2.145699,-79.965679,5.000,0
20310329_085752,-2.145687,-79.965678,5.000,0
20310330_124432,-2.145687,-79.965678,5.000,0
20310330_124432,-2.145679,-79.965647,5.000,0
20310331_163112,-2.145679,-79.965647,5.000,0
20310331_163112,-2.145687,-79.965663,5.000,0
20310401_201752,-2.145687,-79.965663,5.000,0
20310401_201752,-2.145690,-79.965657,5.000,0
20310403_000432,-2.145690,-79.965657,5.000,0
20310403_000432,-2.145699,-79.965648,5.000,0
20310404_035112,-2.145699,-79.965648,5.000,0
20310404_035112,-2.145693,-79.965647,5.000,0
20310405_073752,-2.145693,-79.965647,5.000,0
20310405_073752,-2.145690,-79.965660,5.000,0
20310405_073752,-2.145491,-79.965735,5.000,0
20320130_020432,-2.145491,-79.965735,5.000,0
20320130_020432,-2.145516,-79.965747,5.000,0
20320131_055112,-2.145516,-79.965747,5.000,0
20320131_055112,-2.145513,-79.965769,5.000,0
20320201_093752,-2.145513,-79.965769,5.000,0
20320201_093752,-2.145494,-79.965725,5.000,0
20320202_132432,-2.145494,-79.965725,5.000,0
20320202_132432,-2.145481,-79.965760,5.000,0
20320203_171112,-2.145481,-79.965760,5.000,0
20320203_171112,-2.145473,-79.965726,5.000,0
20320204_205752,-2.145473,-79.965726,5.000,0
20320204_205752,-2.145464,-79.965716,5.000,0
20320207_043112,-2.145464,-79.965716,5.000,0
20320207_043112,-2.145475,-79.965740,5.000,0
20320208_081752,-2.145475,-79.965740,5.000,0
20320208_081752,-2.145508,-79.965756,5.000,0
20320209_120432,-2.145508,-79.965756,5.000,0
20320209_120432,-2.145493,-79.965753,5.000,0
20320210_155112,-2.145493,-79.965753,5.000,0
20320210_155112,-2.145469,-79.965704,5.000,0
20320211_193752,-2.145469,-79.965704,5.000,0
20320211_193752,-2.145470,-79.965743,5.000,0
20320212_232432,-2.145470,-79.965743,5.000,0
20320212_232432,-2.145471,-79.965724,5.000,0
20320214_031112,-2.145471,-79.965724,5.000,0
20320214_031112,-2.145490,-79.965722,5.000,0
20320215_065752,-2.145490,-79.965722,5.000,0
20320215_065752,-2.145480,-79.965719,5.000,0
20320216_104432,-2.145480,-79.965719,5.000,0
20320216_104432,-2.145489,-79.965732,5.000,0
20330124_005752,-2.145489,-79.965732,5.000,0
20330124_005752,-2.145223,-79.965903,5.000,0
20330125_044432,-2.145223,-79.965903,5.000,0
20330125_044432,-2.145206,-79.965877,5.000,0
20330126_083112,-2.145206,-79.965877,5.000,0
20330126_083112,-2.145197,-79.965864,5.000,0
20330127_121752,-2.145197,-79.965864,5.000,0
20330127_121752,-2.145193,-79.965851,5.000,0
20330128_160432,-2.145193,-79.965851,5.000,0
20330128_160432,-2.145202,-79.965879,5.000,0
20330129_195112,-2.145202,-79.965879,5.000,0
20330129_195112,-2.145208,-79.965867,5.000,0
20330130_233752,-2.145208,-79.965867,5.000,0
20330130_233752,-2.145181,-79.965855,5.000,0
20330201_032432,-2.145181,-79.965855,5.000,0
20330201_032432,-2.145176,-79.965840,5.000,0
20330202_071112,-2.145176,-79.965840,5.000,0
20330202_071112,-2.145226,-79.965879,5.000,0
20330203_105752,-2.145226,-79.965879,5.000,0
20330203_105752,-2.145210,-79.965876,5.000,0
20330204_144432,-2.145210,-79.965876,5.000,0
20330204_144432,-2.145183,-79.965846,5.000,0
20330205_183112,-2.145183,-79.965846,5.000,0
20330205_183112,-2.145210,-79.965854,5.000,0
20330206_221752,-2.145210,-79.965854,5.000,0
20330206_221752,-2.145223,-79.965874,5.000,0
20330209_055112,-2.145223,-79.965874,5.000,0
20330209_055112,-2.145192,-79.965855,5.000,0
20341212_051112,-2.145192,-79.965855,5.000,0
20341212_051112,-2.144847,-79.966189,5.000,0
20341213_164432,-2.144847,-79.966189,5.000,0
20341213_164432,-2.144788,-79.966185,5.000,0
20341214_203112,-2.144788,-79.966185,5.000,0
20341214_203112,-2.144736,-79.966190,5.000,0
20341216_001752,-2.144736,-79.966190,5.000,0
20341216_001752,-2.144721,-79.966190,5.000,0
20341217_040432,-2.144721,-79.966190,5.000,0
20341217_040432,-2.144633,-79.966192,5.000,0
20341218_075112,-2.144633,-79.966192,5.000,0
20341218_075112,-2.144543,-79.966211,5.000,0
20341219_113752,-2.144543,-79.966211,5.000,0
20341219_113752,-2.144606,-79.966209,5.000,0
20341220_152432,-2.144606,-79.966209,5.000,0
20341220_152432,-2.144539,-79.966208,5.000,0
20341221_191112,-2.144539,-79.966208,5.000,0
20341221_191112,-2.144515,-79.966212,5.000,0
20341222_225752,-2.144515,-79.966212,5.000,0
20341222_225752,-2.144600,-79.966200,5.000,0
20341224_024432,-2.144600,-79.966200,5.000,0
20341224_024432,-2.144581,-79.966210,5.000,0
20341225_063112,-2.144581,-79.966210,5.000,0
20341225_063112,-2.144601,-79.966203,5.000,0
